#    data from: http://www.heweather.com/documents/cn-city-list
#
#        #!/usr/bin/env python
#        # -*- coding: utf-8 -*-
#
#        import itertools
#        import pypinyin
#        from pypinyin import pinyin
#
#
#        with open('city.data') as f:
#            for line in f:
#                line = line.strip().decode('utf-8')
#                (_id, county, ccounty, city, province) = line.split(' ')
#                k = pinyin(ccounty, style=pypinyin.NORMAL, heteronym=True)
#                abbr = None
#                for t in itertools.product(*k):
#                    py = "".join(t)
#                    if py == county:
#                        abbr = "".join([x[0] for x in t])
#                        break
#                abbr = (abbr is None and ['---'] or [abbr])[0]
#
#                data = _id, abbr, county, ccounty, city, province #                print " ".join(data).encode('utf-8')
CN101050301 mdj mudanjiang 牡丹江 牡丹江 黑龙江
CN101050302 hl hailin 海林 牡丹江 黑龙江
CN101050303 ml muling 穆棱 牡丹江 黑龙江
CN101050304 lk linkou 林口 牡丹江 黑龙江
CN101050305 sfh suifenhe 绥芬河 牡丹江 黑龙江
CN101050306 na ningan 宁安 牡丹江 黑龙江
CN101050307 dn dongning 东宁 牡丹江 黑龙江
CN101050401 jms jiamusi 佳木斯 佳木斯 黑龙江
CN101050402 ty tangyuan 汤原 佳木斯 黑龙江
CN101050403 fy fuyuan 抚远 佳木斯 黑龙江
CN101050404 hc huachuan 桦川 佳木斯 黑龙江
CN101050405 hn huanan 桦南 佳木斯 黑龙江
CN101050406 tj tongjiang 同江 佳木斯 黑龙江
CN101050407 fj fujin 富锦 佳木斯 黑龙江
CN101050501 sh suihua 绥化 绥化 黑龙江
CN101050502 zd zhaodong 肇东 绥化 黑龙江
CN101050503 ad anda 安达 绥化 黑龙江
CN101050504 hl hailun 海伦 绥化 黑龙江
CN101050505 ms mingshui 明水 绥化 黑龙江
CN101050506 wk wangkui 望奎 绥化 黑龙江
CN101050507 lx lanxi 兰西 绥化 黑龙江
CN101050508 qg qinggang 青冈 绥化 黑龙江
CN101050509 qa qingan 庆安 绥化 黑龙江
CN101050510 sl suiling 绥棱 绥化 黑龙江
CN101050601 hh heihe 黑河 黑河 黑龙江
CN101050602 nj nenjiang 嫩江 黑河 黑龙江
CN101050603 sw sunwu 孙吴 黑河 黑龙江
CN101050604 xk xunke 逊克 黑河 黑龙江
CN101050605 wdlc wudalianchi 五大连池 黑河 黑龙江
CN101050606 ba beian 北安 黑河 黑龙江
CN101050701 dxal daxinganling 大兴安岭 大兴安岭 黑龙江
CN101050702 th tahe 塔河 大兴安岭 黑龙江
CN101050703 mh mohe 漠河 大兴安岭 黑龙江
CN101050704 hm huma 呼玛 大兴安岭 黑龙江
CN101050705 hz huzhong 呼中 大兴安岭 黑龙江
CN101050706 xl xinlin 新林 大兴安岭 黑龙江
CN101050708 jgdq jiagedaqi 加格达奇 大兴安岭 黑龙江
CN101050801 yc yichun 伊春 伊春 黑龙江
CN101050802 wyl wuyiling 乌伊岭 伊春 黑龙江
CN101050803 wy wuying 五营 伊春 黑龙江
